epoch,lr,loc_loss,conf_loss,total_loss,mAP
1,0.001,2.9560984677456794,9.595290234748353,12.551388702494032,
2,0.001,2.696763571272505,6.553343691724412,9.250107262996917,
3,0.001,2.378606450050435,5.107880845982978,7.486487296033413,
4,0.001,2.179985854219883,4.893698007502454,7.073683861722337,
5,0.001,2.019992433963938,4.771887444435282,6.79187987839922,
6,0.001,1.9622252203048545,4.674113359857113,6.636338580161968,
7,0.001,1.9188237558019925,4.539892090127824,6.458715845929816,
8,0.001,1.8478645251152364,4.397919317509266,6.245783842624502,
9,0.001,1.7927516965155903,4.29841481117492,6.091166507690511,
10,0.001,1.754759723835803,4.247178130961479,6.001937854797282,
11,0.001,1.713146760108623,4.126940514178986,5.840087274287609,
12,0.001,1.7088446452262551,4.037019922378216,5.745864567604471,
13,0.001,1.6489451210549535,3.972516115675581,5.621461236730535,
14,0.001,1.623088778333461,3.869034404450274,5.492123182783736,
15,0.001,1.5809221115518124,3.797692309034632,5.378614420586445,
16,0.001,1.5902699549147423,3.749675890232654,5.339945845147397,
17,0.001,1.5782708931476512,3.7129522004026048,5.291223093550256,
18,0.001,1.555093005616614,3.6314599716917,5.186552977308313,
19,0.001,1.5202512728407027,3.597528911651449,5.117780184492152,
20,0.001,1.512349136332248,3.525793004543224,5.038142140875472,
21,0.001,1.4667998488913192,3.477027636893252,4.943827485784571,
22,0.001,1.4993876091977385,3.42455308234438,4.923940691542118,
23,0.001,1.4567050122200174,3.391088303099288,4.847793315319304,
24,0.001,1.4477813497502754,3.339389697034308,4.787171046784584,
25,0.001,1.4405421716101623,3.3270448598455875,4.76758703145575,
26,0.001,1.3928864864592856,3.2636794105489204,4.656565897008206,
27,0.001,1.4159299820027451,3.2232109866243728,4.639140968627118,
28,0.001,1.395758606017904,3.1908503999101354,4.58660900592804,
29,0.001,1.3895519515301318,3.159055108719684,4.548607060249815,
