epoch,lr,loc_loss,conf_loss,total_loss,mAP,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
1,0.001,2.8074996547698974,9.198404615402222,12.00590427017212,,,,,,,,,,,,,,,,,,,,,
2,0.001,2.5703454036712645,8.745170288085937,11.315515691757202,,,,,,,,,,,,,,,,,,,,,
3,0.001,2.3055089683532715,6.784665531158447,9.090174499511718,,,,,,,,,,,,,,,,,,,,,
4,0.001,2.074114287376404,5.134792335510254,7.208906622886658,,,,,,,,,,,,,,,,,,,,,
5,0.001,1.9336500267982484,4.754429723739624,6.688079750537872,,,,,,,,,,,,,,,,,,,,,
6,0.001,1.833040439128876,4.548614278793335,6.381654717922211,,,,,,,,,,,,,,,,,,,,,
7,0.001,1.7598586535453795,4.369923306465149,6.129781960010529,,,,,,,,,,,,,,,,,,,,,
8,0.001,1.7143783268928527,4.231726054191589,5.946104381084442,,,,,,,,,,,,,,,,,,,,,
9,0.001,1.6758937654495238,4.081482404708862,5.757376170158386,,,,,,,,,,,,,,,,,,,,,
10,0.001,1.6183826088905335,3.9607925806045534,5.579175189495087,,,,,,,,,,,,,,,,,,,,,
11,0.001,1.5905282983779907,3.842714135169983,5.433242433547973,,,,,,,,,,,,,,,,,,,,,
12,0.001,1.5679003009796142,3.7245772199630736,5.292477520942688,,,,,,,,,,,,,,,,,,,,,
13,0.001,1.5349707641601562,3.6578585567474367,5.192829320907593,,,,,,,,,,,,,,,,,,,,,
14,0.001,1.4913584723472595,3.587732262611389,5.0790907349586485,,,,,,,,,,,,,,,,,,,,,
15,0.001,1.4783049612045287,3.4895935497283936,4.967898510932923,,,,,,,,,,,,,,,,,,,,,
16,0.001,1.46298322057724,3.4207870788574217,4.883770299434662,,,,,,,,,,,,,,,,,,,,,
17,0.001,1.443345862865448,3.3919615211486818,4.83530738401413,,,,,,,,,,,,,,,,,,,,,
18,0.001,1.4151072516441343,3.318824085235596,4.73393133687973,,,,,,,,,,,,,,,,,,,,,
19,0.001,1.400869899749756,3.2749945764541626,4.675864476203919,,,,,,,,,,,,,,,,,,,,,
20,0.001,1.3793924741744996,3.2030672883987426,4.582459762573242,,,,,,,,,,,,,,,,,,,,,
21,0.001,1.367251965045929,3.173105167388916,4.5403571324348455,,,,,,,,,,,,,,,,,,,,,
22,0.001,1.3585714292526243,3.086447762489319,4.445019191741944,,,,,,,,,,,,,,,,,,,,,
23,0.001,1.3266918935775758,3.08127430343628,4.407966197013855,,,,,,,,,,,,,,,,,,,,,
24,0.001,1.3204452066421508,3.058752420425415,4.379197627067565,,,,,,,,,,,,,,,,,,,,,
25,0.001,1.3154858620166778,2.996303208351135,4.311789070367813,,,,,,,,,,,,,,,,,,,,,
26,0.001,1.3054605956077576,2.9650354595184325,4.27049605512619,,,,,,,,,,,,,,,,,,,,,
27,0.001,1.2735126676559447,2.927892153739929,4.201404821395874,,,,,,,,,,,,,,,,,,,,,
28,0.001,1.2658830842971802,2.9140222215652467,4.179905305862427,,,,,,,,,,,,,,,,,,,,,
29,0.001,1.261586100578308,2.8574132595062256,4.118999360084533,,,,,,,,,,,,,,,,,,,,,
30,0.001,1.2468883950710297,2.848533135414124,4.095421530485154,,,,,,,,,,,,,,,,,,,,,
31,0.001,1.2362546980381013,2.8179188089370726,4.054173506975173,,,,,,,,,,,,,,,,,,,,,
32,0.001,1.234880294084549,2.7884797773361205,4.02336007142067,,,,,,,,,,,,,,,,,,,,,
33,0.001,1.2139896924495697,2.7460979557037355,3.960087648153305,,,,,,,,,,,,,,,,,,,,,
34,0.001,1.2184128432273864,2.749787727355957,3.968200570583344,,,,,,,,,,,,,,,,,,,,,
35,0.001,1.2004921376705169,2.703591488838196,3.904083626508713,,,,,,,,,,,,,,,,,,,,,
36,0.001,1.192191288948059,2.704091361045837,3.896282649993896,,,,,,,,,,,,,,,,,,,,,
37,0.001,1.184628865003586,2.6736102142333986,3.858239079236984,,,,,,,,,,,,,,,,,,,,,
38,0.001,1.1699551608562468,2.6574019842147827,3.8273571450710295,,,,,,,,,,,,,,,,,,,,,
39,0.001,1.1609665026664735,2.635657678604126,3.7966241812706,,,,,,,,,,,,,,,,,,,,,
40,0.001,1.164868950843811,2.6272432079315187,3.7921121587753297,,,,,,,,,,,,,,,,,,,,,
41,0.001,1.151379452705383,2.5978296213150025,3.749209074020386,,,,,,,,,,,,,,,,,,,,,
42,0.001,1.1437557270526886,2.577833528518677,3.7215892555713657,,,,,,,,,,,,,,,,,,,,,
43,0.001,1.1345839395523072,2.561980999946594,3.696564939498901,,,,,,,,,,,,,,,,,,,,,
44,0.001,1.1416333465576172,2.557354956150055,3.698988302707672,,,,,,,,,,,,,,,,,,,,,
45,0.001,1.1302698802948,2.5512418308258056,3.6815117111206055,,,,,,,,,,,,,,,,,,,,,
46,0.001,1.1137312219142914,2.530764441013336,3.644495662927628,,,,,,,,,,,,,,,,,,,,,
47,0.001,1.1169338743686676,2.501715519428253,3.618649393796921,,,,,,,,,,,,,,,,,,,,,
48,0.001,1.1019134271144866,2.4937194094657897,3.5956328365802763,,,,,,,,,,,,,,,,,,,,,
49,0.001,1.0902290666103365,2.465297833442688,3.555526900053024,,,,,,,,,,,,,,,,,,,,,
50,0.001,1.100165935516357,2.474195847511292,3.5743617830276486,,,,,,,,,,,,,,,,,,,,,
51,0.001,1.0938211145401,2.4418073010444643,3.535628415584564,,,,,,,,,,,,,,,,,,,,,
52,0.001,1.0716183271408082,2.433656239032745,3.5052745661735534,,,,,,,,,,,,,,,,,,,,,
53,0.001,1.067407593727112,2.40762553691864,3.475033130645752,,,,,,,,,,,,,,,,,,,,,
54,0.001,1.0634040689468385,2.4115872921943664,3.474991361141205,,,,,,,,,,,,,,,,,,,,,
55,0.001,1.0617967228889464,2.3823851981163027,3.4441819210052493,,,,,,,,,,,,,,,,,,,,,
56,0.001,1.0629718058109283,2.3871437811851504,3.4501155869960787,,,,,,,,,,,,,,,,,,,,,
57,0.001,1.0473769824504853,2.372537359714508,3.419914342164993,,,,,,,,,,,,,,,,,,,,,
58,0.001,1.0436276805400848,2.3695820069313047,3.4132096874713893,,,,,,,,,,,,,,,,,,,,,
59,0.001,1.0393630039691926,2.3405402631759644,3.379903267145157,,,,,,,,,,,,,,,,,,,,,
60,0.001,1.046808078289032,2.353378753185272,3.400186831474304,,,,,,,,,,,,,,,,,,,,,
61,0.001,1.03013188290596,2.337560022830963,3.3676919057369235,,,,,,,,,,,,,,,,,,,,,
62,0.001,1.021471542596817,2.3289191541671754,3.3503906967639923,,,,,,,,,,,,,,,,,,,,,
